Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Retail Sales People,Product ID,Category,Sub-Category,Product Name,Returned,Sales,Quantity,Discount,Profit
CA-2017-140326,09/04/2017,09/06/2017,First Class,HW-14935,Helen Wasserman,Corporate,United States,Chicago,Illinois,60653,Central,Kelly Williams,FUR-BO-10000112,Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",Not,825.17,9,0.3,-117.88
CA-2015-130785,09/05/2015,09/09/2015,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,San Diego,California,92105,West,Anna Andreadi,FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Yes,411.33,4,0.15,-4.84
CA-2014-105249,28/11/2014,28/11/2014,Same Day,DH-13675,Duane Huffman,Home Office,United States,San Francisco,California,94122,West,Anna Andreadi,FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Not,411.33,4,0.15,-4.84
CA-2017-125472,30/05/2017,31/05/2017,First Class,BD-11725,Bruce Degenhardt,Consumer,United States,Lafayette,Louisiana,70506,South,Cassandra Brandow,FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Not,241.96,2,0,33.87
CA-2015-118423,24/03/2015,27/03/2015,First Class,DP-13390,Dennis Pardue,Home Office,United States,Peoria,Illinois,61604,Central,Kelly Williams,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,Not,359.06,3,0.3,-35.91
CA-2014-156349,26/05/2014,30/05/2014,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Los Angeles,California,90008,West,Anna Andreadi,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,Yes,290.67,2,0.15,27.36
CA-2016-165848,06/04/2016,06/04/2016,Same Day,EN-13780,Edward Nazzal,Consumer,United States,New York City,New York,10035,East,Chuck Magee,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,Not,136.78,1,0.2,5.13
US-2014-123183,19/11/2014,25/11/2014,Standard Class,GR-14560,Georgia Rosenberg,Corporate,United States,Wilmington,Delaware,19805,East,Chuck Magee,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,Not,1025.88,6,0,235.95
CA-2014-133592,31/12/2014,01/07/2015,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Providence,Rhode Island,2908,East,Chuck Magee,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,Not,341.96,2,0,78.65
CA-2017-161200,08/06/2017,08/10/2017,Second Class,SV-20365,Seth Vernon,Consumer,United States,Lafayette,Louisiana,70506,South,Cassandra Brandow,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Not,145.74,3,0,23.32
CA-2015-168480,21/09/2015,27/09/2015,Standard Class,DM-12955,Dario Medina,Corporate,United States,Lincoln Park,Michigan,48146,Central,Kelly Williams,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Yes,194.32,4,0,31.09
CA-2017-116946,19/12/2017,23/12/2017,Standard Class,TS-21505,Tony Sayre,Consumer,United States,Parker,Colorado,80134,West,Anna Andreadi,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Not,102.02,7,0.7,-183.63
US-2016-166660,30/01/2016,30/01/2016,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,98103,West,Anna Andreadi,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Not,48.58,1,0,7.77
CA-2017-126914,15/06/2017,19/06/2017,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Monroe,North Carolina,28110,South,Cassandra Brandow,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Not,77.73,2,0.2,-3.89
CA-2014-156790,08/08/2014,08/10/2014,Second Class,VG-21790,Vivek Gonzalez,Consumer,United States,Jacksonville,Florida,32216,South,Cassandra Brandow,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Not,155.46,4,0.2,-7.77
US-2014-156559,19/08/2014,26/08/2014,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Jonesboro,Arkansas,72401,South,Cassandra Brandow,FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",Not,638.82,9,0,172.48
CA-2014-140487,14/06/2014,20/06/2014,Standard Class,SR-20425,Sharelle Roach,Home Office,United States,Detroit,Michigan,48234,Central,Kelly Williams,FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",Not,212.94,3,0,57.49
US-2016-110170,27/09/2016,27/09/2016,Standard Class,HM-14860,Harry Marie,Corporate,United States,Huntsville,Texas,77340,Central,Kelly Williams,FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,Not,956.66,7,0.32,-225.1
US-2016-131611,11/05/2016,11/09/2016,Standard Class,EP-13915,Emily Phan,Consumer,United States,Houston,Texas,77036,Central,Kelly Williams,FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,Not,956.66,7,0.32,-225.1
CA-2017-168641,24/11/2017,24/11/2017,Standard Class,KA-16525,Kelly Andreada,Consumer,United States,New York City,New York,10035,East,Chuck Magee,FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,Not,321.57,2,0.2,-16.08
US-2015-164238,16/08/2015,20/08/2015,Standard Class,JW-15955,Joni Wasserman,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Chuck Magee,FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,Not,301.47,3,0.5,-205
CA-2017-137449,29/06/2017,30/06/2017,First Class,ME-17725,Max Engle,Consumer,United States,Dallas,Texas,75220,Central,Kelly Williams,FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,Not,410,3,0.32,-96.47
CA-2017-140963,06/10/2017,06/10/2017,First Class,MT-18070,Michelle Tran,Home Office,United States,Los Angeles,California,90045,West,Anna Andreadi,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Yes,514.17,5,0.15,-30.25
CA-2017-108070,16/04/2017,20/04/2017,Standard Class,JE-15745,Joel Eaton,Consumer,United States,San Jose,California,95123,West,Anna Andreadi,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Not,102.83,1,0.15,-6.05
CA-2014-154599,04/12/2014,04/12/2014,Standard Class,KN-16450,Kean Nguyen,Corporate,United States,Redondo Beach,California,90278,West,Anna Andreadi,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Not,308.5,3,0.15,-18.15
CA-2016-156251,13/08/2016,18/08/2016,Second Class,TS-21160,Theresa Swint,Corporate,United States,West Allis,Wisconsin,53214,Central,Kelly Williams,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Not,241.96,2,0,24.2
CA-2014-101931,28/10/2014,31/10/2014,First Class,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,Anna Andreadi,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Not,617,6,0.15,-36.29
CA-2014-166744,20/09/2014,24/09/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,Columbia,Maryland,21044,East,Chuck Magee,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Yes,362.94,3,0,36.29
CA-2014-131247,30/03/2014,04/04/2014,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,San Francisco,California,94110,West,Anna Andreadi,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Not,205.67,2,0.15,-12.1
CA-2015-163965,20/11/2015,27/11/2015,Standard Class,SS-20875,Sung Shariari,Consumer,United States,Miami,Florida,33180,South,Cassandra Brandow,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Not,290.35,3,0.2,-36.29
CA-2016-149762,12/03/2016,12/07/2016,Standard Class,RD-19720,Roger Demir,Consumer,United States,Morgan Hill,California,95037,West,Anna Andreadi,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Not,205.67,2,0.15,-12.1
CA-2016-152688,17/10/2016,20/10/2016,First Class,NR-18550,Nick Radford,Consumer,United States,Perth Amboy,New Jersey,8861,East,Chuck Magee,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Not,120.98,1,0,12.1
CA-2015-100454,20/11/2015,25/11/2015,Standard Class,BM-11650,Brian Moss,Corporate,United States,New York City,New York,10035,East,Chuck Magee,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Not,186.05,4,0.2,9.3
CA-2017-134565,06/11/2017,06/11/2017,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98103,West,Anna Andreadi,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Not,174.42,3,0,41.86
US-2017-169551,07/07/2017,07/09/2017,First Class,RL-19615,Rob Lucas,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Chuck Magee,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Not,87.21,3,0.5,-45.35
CA-2017-141201,12/09/2017,12/11/2017,Second Class,DB-12910,Daniel Byrd,Home Office,United States,Salinas,California,93905,West,Anna Andreadi,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Not,148.26,3,0.15,15.7
CA-2015-137974,16/04/2015,18/04/2015,First Class,LL-16840,Lauren Leatherbury,Consumer,United States,Waynesboro,Virginia,22980,South,Cassandra Brandow,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Not,523.26,9,0,125.58
CA-2016-157707,10/10/2016,10/12/2016,First Class,CC-12610,Corey Catlett,Corporate,United States,Denver,Colorado,80219,West,Anna Andreadi,FUR-BO-10001567,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Not,90.88,3,0.7,-190.85
CA-2014-144666,11/09/2014,11/11/2014,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110,West,Anna Andreadi,FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",Not,222.67,2,0.15,10.48
US-2017-133200,05/06/2017,05/11/2017,Standard Class,DB-13555,Dorothy Badders,Corporate,United States,Fort Worth,Texas,76106,Central,Kelly Williams,FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",Not,623.46,7,0.32,-119.19
CA-2017-159149,17/02/2017,19/02/2017,First Class,CR-12820,Cyra Reiten,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",Not,89.07,1,0.32,-17.03
CA-2014-166863,20/06/2014,24/06/2014,Standard Class,SC-20020,Sam Craven,Consumer,United States,Plano,Texas,75023,Central,Kelly Williams,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",Not,193.07,4,0.32,-19.87
US-2016-106600,04/08/2016,04/11/2016,First Class,RM-19375,Raymond Messe,Consumer,United States,Columbus,Georgia,31907,South,Cassandra Brandow,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",Not,354.9,5,0,88.73
US-2017-167402,13/01/2017,18/01/2017,Second Class,CP-12085,Cathy Prescott,Corporate,United States,Springfield,Missouri,65807,Central,Kelly Williams,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",Not,212.94,3,0,53.24
CA-2015-137925,30/11/2015,30/11/2015,Standard Class,JL-15235,Janet Lee,Consumer,United States,New York City,New York,10035,East,Chuck Magee,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",Not,681.41,12,0.2,42.59
